i,fval,d1,d2,d3,d4,lam,p11,p1,p2
749,2.67,-0.6489357619555021,0.07820843285441131,-0.06518503985818687,-0.21058068074097908,546.2118717551599,1376.4148345671636 - 63.558604117995486im,1383.6822860350087 + 0.0im,1444.3306338055127 - 34.82684149006955im
752,2.96,-1.0009645997895953,0.07242204945455509,-0.2562790648536779,0.2936688638612697,538.9384854784353,1375.9203857202867 - 47.36134424188796im,1393.0858204398 + 0.0im,1436.2452989940102 - 25.680767934335595im
754,2.73,-0.24617283253197958,0.021952661440671012,0.08209255782315561,-0.5758567736243907,581.4248597175927,1374.5115534660592 - 45.05629230426899im,1394.8660198398513 + 0.0im,1459.6244324802506 - 37.51545400309285im
756,2.73,-0.22292474589650269,0.030170791266582155,0.0717417086515234,-0.550745434068678,569.8625569531221,1371.4326537336947 - 52.877832944420426im,1390.588846133006 + 0.0im,1450.4043484177205 - 27.718884979879217im
757,2.92,-0.5206932798576723,0.004281643645175956,-0.005368648526351903,-0.2668865688639259,561.6242448807119,1374.5643854236284 - 20.831002997864797im,1397.336120061601 + 0.0im,1467.4644041193467 - 37.22584670287939im
758,3.53,-0.4839529796954409,0.00968292769473509,-0.014293667405777543,-0.29939977933167744,527.7362815301564,1374.3841181652194 - 49.16483984940171im,1389.1219879501452 + 0.0im,1464.9745388033953 - 25.1132168619322im
761,5.36,-0.319505966579462,0.0534041509653308,-0.018637888521066976,-0.45003270207626367,620.7926655825157,1367.1313469278261 - 54.085992168498116im,1392.7909289231386 + 0.0im,1430.990486145302 - 26.95066719138007im
763,2.89,-0.0821701345851592,0.06614824624044072,0.17764132590734175,-0.7242620782464819,561.0194383821358,1370.3627603765722 - 63.38790251558883im,1387.1441335320544 + 0.0im,1441.6142483808624 - 30.006361008483186im
764,2.89,-0.7391758212580788,0.025915057548551397,-0.10902042213831128,-0.06120942505285423,539.6417546352169,1376.9137725285157 - 39.230879970722995im,1394.611428164455 + 0.0im,1461.1719504499024 - 33.707036736201594im
766,2.75,-0.9070799523857254,0.055016594320585775,-0.24655353052353923,0.09739537906651125,583.6478383741058,1375.2740818844552 - 50.02428394707117im,1393.6451402582086 + 0.0im,1441.7527024176864 - 34.80188390529485im
767,2.8,-0.7517701517452555,0.05360050529607507,-0.14339191624233558,-0.053205434206411106,534.8305580672554,1374.8839303814545 - 59.74894132198412im,1381.3107555651488 + 0.0im,1450.8631132121232 - 27.302844374382843im
769,2.59,-0.6478151681338948,0.05183503070360056,-0.08385141062938528,-0.14912330806115007,552.5724747516335,1376.6601512197317 - 48.91081703821726im,1392.6596842274585 + 0.0im,1447.880935543289 - 32.85448519508956im
771,3.38,-0.3954864585092054,0.03390832820193551,0.008694027155877103,-0.38851592314294614,592.3831158362276,1375.6235840285287 - 36.160548320171635im,1396.9163879830148 + 0.0im,1446.7328711398536 - 37.12452078838001im
772,2.8,-0.37598023689438653,0.034580248392217836,-0.0034189779219443092,-0.4031633400903578,552.5152989574523,1371.0495268157022 - 59.50239305906405im,1382.2105380539726 + 0.0im,1452.264541951264 - 24.07719199144302im
773,2.71,-0.8053501288388364,0.04700750414874199,-0.19141147286832194,0.016861368960852274,557.8582291127908,1374.6826509643388 - 53.02446143598932im,1389.3737733098358 + 0.0im,1447.6538116055012 - 29.19671783218738im
774,2.76,-0.18754737827782764,0.0719145557849931,0.10567736466210673,-0.628348764460604,563.6832690792809,1367.8380044674693 - 69.33351800602082im,1373.9591183106572 + 0.0im,1440.5294210758477 - 26.092531784110346im
777,4.09,-0.7000055340190314,0.009032127248131044,-0.12958978322827971,-0.16987385875475491,561.3145950393452,1376.0097670453645 - 47.689928338027414im,1391.5030510649776 + 0.0im,1480.7390564367622 - 37.89980403749634im
778,3.89,-0.5660880600022502,0.03166875175884032,-0.035543065199885766,-0.2544128078193583,510.50035541469504,1374.7706401603143 - 61.00659411302407im,1375.3864638060618 + 0.0im,1463.2553495249736 - 24.73978088431355im
782,3.17,-0.4591610664885474,0.0497069817911742,-0.026979568176117116,-0.3263450277698418,582.6843638390723,1374.5287028199368 - 48.06104024453871im,1394.549171688782 + 0.0im,1441.6659209071727 - 33.05381754826503im
783,3.39,-0.3922416074785317,0.03453730928606339,-0.021794604990888297,-0.36061778692805974,592.3693797533963,1372.502577836567 - 43.995589807482766im,1395.0994579380156 + 0.0im,1442.2399711727737 - 29.79111359461634im
784,2.79,-0.0845072922419598,0.05657435137955665,0.15913614308310742,-0.7580625264524431,573.1350762352911,1368.9680789072588 - 66.1489406168759im,1384.043970661382 + 0.0im,1446.5927605450163 - 32.04556524641559im
786,2.86,-0.1874649018505814,0.05922606386434852,0.1603061435161752,-0.7067075686587225,547.9116383225054,1372.9277131399442 - 67.25778827459824im,1382.708322199499 + 0.0im,1455.342527467361 - 39.006987630147144im
787,2.67,-0.35653606620862544,0.02994943165799385,0.017369714726633463,-0.44901098401072087,576.4845730310782,1373.510525284449 - 49.74081425730576im,1392.639852444173 + 0.0im,1453.535827706925 - 32.86195744181027im
788,2.86,-0.3178818693445771,0.038072919851663604,0.09165625995917517,-0.5462035645208705,551.3873843570623,1376.2063754719147 - 53.65169937168762im,1391.3452974737743 + 0.0im,1462.4100304500341 - 39.6926787318933im
792,2.76,-0.41912712339920705,0.024321922418748875,-0.05368775658312833,-0.34041252662169597,577.4228683133671,1370.350072951983 - 52.8786409082552im,1388.5808989250154 - 1.326400435150641e-7im,1449.9752618387843 - 24.547237594454234im
793,2.77,-0.7525964797851223,0.02169930787568069,-0.1777730404581293,-0.03814344139608311,575.1479293117252,1374.625640244067 - 42.0623258425025im,1394.3518438399294 + 0.0im,1455.5748636905562 - 32.696364688492636im
794,3.37,-0.5606862500197658,0.028002035264506127,-0.062115774613357384,-0.2553139946627208,537.0980760978729,1374.1730391473327 - 57.435972597967115im,1383.2415589452391 + 0.0im,1461.0269685011745 - 27.088991035948876im
795,2.88,-0.7912701909021185,0.0583469638260548,-0.1815950934438095,0.027271345683500814,569.1920454687865,1375.3366399121078 - 47.920457083985724im,1393.8347413242689 + 0.0im,1438.9814370410331 - 30.342477031598232im
797,2.89,-0.1483393195778177,0.03913531785195949,0.11286549470166146,-0.663663184423956,580.8687829623952,1371.0060076274794 - 56.95457851192771im,1390.3366344784051 + 0.0im,1449.4088360220023 - 31.79810463027935im
799,3.05,-0.6519893218008611,0.06617215046860536,-0.15570943216712776,-0.13117530468039634,589.2189170965987,1369.5859575946217 - 60.083938892950044im,1385.9441886676132 + 0.0im,1434.3760264035438 - 25.545609273110934im
800,2.72,-0.12709190884192628,0.027208302444555084,0.14420443012215933,-0.7188798441000659,579.4552800847983,1373.684606485055 - 52.135696222637804im,1393.2266371683866 + 0.0im,1460.7974880161785 - 39.00416222736719im
